GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "06000","California",8,CAGDP2,1,"...","All industry total ","Thousands of dollars",1373270815,1419321823,1498577965,1585081440,1698858388,1812161630,1900220369,1946241466,1879809513,1938603260,2014050287,2108873110,2223300903,2342218803,2487156418,2586485176,2740550256,2899530864,3062158945,3068809395,3416939441,3641643425
 "06000","California",8,CAGDP2,2,"..."," Private industries ","Thousands of dollars",1196078123,1231766870,1301545490,1379438516,1484019483,1585884034,1657737874,1691643939,1625315595,1680749567,1750807306,1844154781,1947877360,2052422466,2180772717,2266952586,2415987761,2561404354,2714527485,2712318196,3047121497,3260251295
 "06000","California",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",17911660,18736869,21167011,25355080,25442714,24434441,28521063,25708094,24925068,28237298,32278564,34079801,38251284,40819517,37907686,37229593,39257475,39165626,37304633,38300581,42719973,45330559
 "06000","California",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",6428067,5926629,6990653,9117485,12666924,17698608,21480121,25774551,17888251,18384358,20695351,21479892,19911627,17888954,9710993,8112005,9837289,9469840,8216983,7077155,9708469,11610355
 "06000","California",8,CAGDP2,10,"22","  Utilities ","Thousands of dollars",14605856,20247642,20980429,20778405,20984548,25209515,25445655,24961615,27339462,28468631,29934687,29518093,31178157,32239576,33376662,34327418,38232659,39673210,40239699,42193887,43689649,52323868
 "06000","California",8,CAGDP2,11,"23","  Construction ","Thousands of dollars",58692904,59866295,66907443,80986924,92240324,97643494,94706322,76888032,65281123,61615695,58937981,64176664,73416423,80017643,91151966,100803767,110699136,119459047,128774877,125193945,131778125,140528134
 "06000","California",8,CAGDP2,12,"31-33","  Manufacturing ","Thousands of dollars",177924803,162473629,176918552,182327356,207858663,220276254,231198993,245014208,226538737,219570992,221137720,233979512,245289875,256305757,268522946,272154182,294636660,325580226,335177209,325035965,368835366,397046674
 "06000","California",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",113124925,106545517,112195576,111213597,123605622,126228256,131212785,128125609,123974936,123588558,132772144,137448961,143422832,148153575,157430839,163402526,176065887,186593811,192566551,201746247,222215597,235402818
 "06000","California",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",64799878,55928112,64722976,71113759,84253041,94047998,99986208,116888599,102563801,95982434,88365576,96530550,101867044,108152182,111092107,108751656,118570773,138986416,142610657,123289719,146619769,161643856
 "06000","California",8,CAGDP2,34,"42","  Wholesale trade ","Thousands of dollars",76009987,76210646,79875742,84620583,93083903,101699299,108145439,109105546,99224675,106580861,117487538,120165327,128237271,139456449,152827537,148802388,155598124,160211472,173197208,170353123,184894873,200828930
 "06000","California",8,CAGDP2,35,"44-45","  Retail trade ","Thousands of dollars",98970590,102970173,108580580,115000133,121189465,126435936,123320801,115687309,110186035,115543455,117841262,124176099,133658502,138640667,147265469,151074211,157909485,161980300,172119830,173631944,199807880,218144300
 "06000","California",8,CAGDP2,36,"48-49","  Transportation and warehousing ","Thousands of dollars",33778829,33755118,34821866,38872991,40437419,46037247,45642553,45821696,43180700,46522698,48051623,48514401,52255086,56712872,63494367,69983795,75160178,82847298,94022392,84319606,106630235,122252555
 "06000","California",8,CAGDP2,45,"51","  Information ","Thousands of dollars",92910254,100908814,105261971,117361002,120154595,127436473,137743309,142564331,131685600,148442233,153745347,156466153,189866832,198553761,225511971,247746321,271436277,277743298,305961372,321866488,371772895,385264806
 "06000","California",8,CAGDP2,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",267180754,285216567,296937829,298976995,325210971,344636801,360925497,366458143,376259007,385680847,399485342,423236224,436802228,454116336,466190705,478439196,507442962,538503084,560534860,579220850,641948100,674839119
 "06000","California",8,CAGDP2,51,"52","   Finance and insurance ","Thousands of dollars",74160040,81616671,89187814,85055339,93058720,103089893,97995786,80912164,92453144,93638189,98600828,112184003,112410155,122055323,128033830,129627774,135161274,139993098,143669589,156433320,184550869,179910925
 "06000","California",8,CAGDP2,56,"53","   Real estate and rental and leasing ","Thousands of dollars",193020715,203599895,207750015,213921655,232152251,241546909,262929711,285545980,283805863,292042657,300884515,311052221,324392073,332061014,338156875,348811422,372281688,398509987,416865272,422787530,457397230,494928194
 "06000","California",8,CAGDP2,59,"54,55,56","  Professional and business services ","Thousands of dollars",181732688,179986302,186874261,195737854,207055172,222898009,241601986,261458900,245211240,255299853,272620572,294489564,293878237,313029779,336926282,348486849,367934539,398539816,424300230,442240787,490878168,514724228
 "06000","California",8,CAGDP2,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",112848262,113261936,117199330,121770620,131249039,142645575,155502674,174892257,164249561,170232068,182940242,200032039,197060676,210657346,228951450,232592819,244622303,266015587,286211722,301969222,334351145,346870088
 "06000","California",8,CAGDP2,64,"55","   Management of companies and enterprises ","Thousands of dollars",27984664,25297698,25447213,26220112,24835589,25692326,26717548,26423028,25223117,26557603,28541958,30044037,33985473,35790013,37699248,39169348,40198189,45765821,46226458,48787755,53160548,52038945
